,Facebook,Google,Twitter,Hits
1,161.07,26.46,48.44,15.47
2,31.15,27.51,31.57,7.28
3,12.04,32.13,48.51,6.51
4,106.05,28.91,40.95,12.95
5,126.56,7.56,40.88,9.03
6,6.09,34.23,52.5,5.04
7,40.25,22.96,16.45,8.26
8,84.14,13.72,8.12,9.24
9,6.02,1.47,0.7,3.36
10,139.86,1.82,14.84,7.42
11,46.27,4.06,16.94,6.02
12,150.29,16.8,2.8,12.18
13,16.66,24.57,46.13,6.44
14,68.25,5.32,5.04,6.79
15,142.87,23.03,32.2,13.3
16,136.78,33.39,37.03,15.68
17,47.46,25.62,79.8,8.75
18,196.98,27.72,39.06,17.08
19,48.44,14.35,12.81,7.91
20,103.11,16.73,13.37,10.22
21,152.88,19.39,37.38,12.6
22,166.18,3.57,16.45,8.75
23,9.24,11.13,34.72,3.92
24,159.81,11.83,18.34,10.85
25,43.61,8.82,12.81,6.79
26,184.03,2.45,13.65,8.4
27,100.03,20.51,8.82,10.5
28,168.07,11.69,16.03,11.13
29,174.16,18.97,16.03,13.23
30,49.42,11.2,28.56,7.35
31,205.03,19.81,30.24,14.98
32,79.03,12.18,27.02,8.33
33,68.04,1.05,21,6.72
34,185.92,14,0.21,12.18
35,66.99,0.98,5.18,6.65
36,203.49,2.87,5.95,8.96
37,186.83,30.66,3.5,17.78
38,52.29,34.58,31.99,10.29
39,30.17,18.69,24.57,7.07
40,159.6,26.39,22.4,15.05
41,141.75,15.61,22.12,11.62
42,123.9,23.38,27.09,11.97
43,205.52,19.39,1.26,14.49
44,144.83,5.88,18.48,9.03
45,17.57,17.99,30.31,5.95
46,122.57,15.75,22.05,10.43
47,62.79,6.93,24.99,7.42
48,167.93,29.05,12.95,16.24
49,159.04,11.06,34.93,10.36
50,46.83,8.19,25.76,6.79
51,139.86,2.17,24.22,7.98
52,70.28,6.72,2.52,7.49
53,151.48,29.19,27.72,15.82
54,127.82,32.34,41.09,14.84
55,183.89,20.16,11.13,14.14
56,139.23,34.58,42,16.59
57,5.11,19.67,28.98,3.85
58,95.34,13.44,11.62,9.24
59,147.56,34.72,26.39,16.66
60,147.49,20.65,6.51,12.88
61,37.45,1.4,14.98,5.67
62,182.91,29.89,38.29,16.94
63,167.51,10.85,19.11,10.99
64,71.89,20.72,5.88,9.8
65,91.77,29.96,20.23,12.6
66,48.3,6.51,0.63,6.51
67,22.05,17.22,1.54,6.65
68,97.51,10.15,7.14,9.38
69,166.18,19.25,7.7,13.23
70,151.76,30.73,19.04,15.61
71,139.37,21.42,27.09,12.81
72,76.86,10.01,22.19,8.68
73,18.76,23.1,13.51,6.16
74,90.58,3.99,21.91,7.7
75,149.38,17.22,9.17,11.9
76,11.83,30.59,62.58,6.09
77,19.25,1.12,14.49,4.83
78,84.35,19.95,9.94,9.94
79,3.78,20.93,6.58,3.71
80,81.2,5.39,16.17,7.7
81,53.48,18.69,15.61,8.26
82,167.86,2.87,25.83,8.61
83,52.71,14.21,22.75,7.91
84,47.88,31.15,24.92,9.52
85,149.45,30.1,23.66,15.19
86,135.24,12.88,45.99,10.64
87,53.41,19.25,11.2,8.4
88,77.49,28.42,44.24,11.2
